Country,Year,CO2 emission (Tons),Population(2022),Area(Square kilometre),proportion of global land area,Density(Square kilometre)
France,2005,33485782809.0,64626628.0,551695.0,0.004,117
France,2006,33891544108.0,64626628.0,551695.0,0.004,117
France,2007,34286971771.0,64626628.0,551695.0,0.004,117
France,2008,34674963614.0,64626628.0,551695.0,0.004,117
France,2009,35043594804.0,64626628.0,551695.0,0.004,117
France,2010,35420170456.0,64626628.0,551695.0,0.004,117
France,2011,35773905400.0,64626628.0,551695.0,0.004,117
France,2012,36129836915.0,64626628.0,551695.0,0.004,117
France,2013,36487373830.0,64626628.0,551695.0,0.004,117
France,2014,36813259566.0,64626628.0,551695.0,0.004,117
France,2015,37143169942.0,64626628.0,551695.0,0.004,117
France,2016,37476748688.0,64626628.0,551695.0,0.004,117
France,2017,37813744277.0,64626628.0,551695.0,0.004,117
France,2018,38136116165.0,64626628.0,551695.0,0.004,117
France,2019,38452046901.0,64626628.0,551695.0,0.004,117
France,2020,38728680794.0,64626628.0,551695.0,0.004,117
Germany,2000,76216668477.0,83369843.0,357114.0,0.002,233
Germany,2001,77133316999.0,83369843.0,357114.0,0.002,233
Germany,2002,78033288398.0,83369843.0,357114.0,0.002,233
Germany,2003,78934440301.0,83369843.0,357114.0,0.002,233
Germany,2004,79821529428.0,83369843.0,357114.0,0.002,233
Germany,2005,80688226652.0,83369843.0,357114.0,0.002,233
Germany,2006,81566547082.0,83369843.0,357114.0,0.002,233
Germany,2007,82418171411.0,83369843.0,357114.0,0.002,233
Germany,2008,83273098556.0,83369843.0,357114.0,0.002,233
Germany,2009,84063393275.0,83369843.0,357114.0,0.002,233
Germany,2010,84896342383.0,83369843.0,357114.0,0.002,233
Germany,2011,85705559302.0,83369843.0,357114.0,0.002,233
Germany,2012,86519543956.0,83369843.0,357114.0,0.002,233
Germany,2013,87350997794.0,83369843.0,357114.0,0.002,233
Germany,2014,88143585564.0,83369843.0,357114.0,0.002,233
Germany,2015,88939195779.0,83369843.0,357114.0,0.002,233
Germany,2016,89739882411.0,83369843.0,357114.0,0.002,233
Germany,2017,90525765329.0,83369843.0,357114.0,0.002,233
Germany,2018,91279876936.0,83369843.0,357114.0,0.002,233
Germany,2019,91991304745.0,83369843.0,357114.0,0.002,233
Germany,2020,92635615097.0,83369843.0,357114.0,0.002,233
India,2000,18939723919.0,1417173173.0,3287590.0,0.02,431
India,2001,19932284055.0,1417173173.0,3287590.0,0.02,431
India,2002,20955311258.0,1417173173.0,3287590.0,0.02,431
India,2003,22014927422.0,1417173173.0,3287590.0,0.02,431
India,2004,23140398687.0,1417173173.0,3287590.0,0.02,431
India,2005,24326352051.0,1417173173.0,3287590.0,0.02,431
India,2006,25586096327.0,1417173173.0,3287590.0,0.02,431
India,2007,26944248545.0,1417173173.0,3287590.0,0.02,431
India,2008,28407063143.0,1417173173.0,3287590.0,0.02,431
India,2009,30019879742.0,1417173173.0,3287590.0,0.02,431
India,2010,31697767327.0,1417173173.0,3287590.0,0.02,431
India,2011,33477897323.0,1417173173.0,3287590.0,0.02,431
India,2012,35441483368.0,1417173173.0,3287590.0,0.02,431
India,2013,37478420449.0,1417173173.0,3287590.0,0.02,431
India,2014,39664276367.0,1417173173.0,3287590.0,0.02,431
India,2015,41932843845.0,1417173173.0,3287590.0,0.02,431
India,2016,44315067065.0,1417173173.0,3287590.0,0.02,431
India,2017,46748922819.0,1417173173.0,3287590.0,0.02,431
India,2018,49348728536.0,1417173173.0,3287590.0,0.02,431
India,2019,51974696684.0,1417173173.0,3287590.0,0.02,431
India,2020,54416488997.0,1417173173.0,3287590.0,0.02,431
Indonesia,2000,5223020360.0,275501339.0,1904569.0,0.012,145
Indonesia,2001,5526361741.0,275501339.0,1904569.0,0.012,145
Indonesia,2002,5837180028.0,275501339.0,1904569.0,0.012,145
Indonesia,2003,6177621515.0,275501339.0,1904569.0,0.012,145
Indonesia,2004,6522015244.0,275501339.0,1904569.0,0.012,145
Indonesia,2005,6871003941.0,275501339.0,1904569.0,0.012,145
Indonesia,2006,7217709497.0,275501339.0,1904569.0,0.012,145
Indonesia,2007,7605964725.0,275501339.0,1904569.0,0.012,145
Indonesia,2008,7972258018.0,275501339.0,1904569.0,0.012,145
Indonesia,2009,8374215356.0,275501339.0,1904569.0,0.012,145
Indonesia,2010,8826146824.0,275501339.0,1904569.0,0.012,145
Indonesia,2011,9330908794.0,275501339.0,1904569.0,0.012,145
Indonesia,2012,9852436650.0,275501339.0,1904569.0,0.012,145
Indonesia,2013,10348511025.0,275501339.0,1904569.0,0.012,145
Indonesia,2014,10847484192.0,275501339.0,1904569.0,0.012,145
Indonesia,2015,11398959532.0,275501339.0,1904569.0,0.012,145
Indonesia,2016,11959805514.0,275501339.0,1904569.0,0.012,145
Indonesia,2017,12534981306.0,275501339.0,1904569.0,0.012,145
Indonesia,2018,13149865583.0,275501339.0,1904569.0,0.012,145
Indonesia,2019,13810459568.0,275501339.0,1904569.0,0.012,145
Indonesia,2020,14399959936.0,275501339.0,1904569.0,0.012,145
Italy,2000,16351431856.0,59037474.0,301336.0,0.002,196
Italy,2001,16822007804.0,59037474.0,301336.0,0.002,196
Italy,2002,17300012900.0,59037474.0,301336.0,0.002,196
Italy,2003,17795977665.0,59037474.0,301336.0,0.002,196
Italy,2004,18297545497.0,59037474.0,301336.0,0.002,196
Italy,2005,18799805034.0,59037474.0,301336.0,0.002,196
Italy,2006,19296696911.0,59037474.0,301336.0,0.002,196
Italy,2007,19787299468.0,59037474.0,301336.0,0.002,196
Italy,2008,20266202270.0,59037474.0,301336.0,0.002,196
Italy,2009,20690941204.0,59037474.0,301336.0,0.002,196
Italy,2010,21127094887.0,59037474.0,301336.0,0.002,196
Italy,2011,21551372414.0,59037474.0,301336.0,0.002,196
Italy,2012,21954819628.0,59037474.0,301336.0,0.002,196
Italy,2013,22324653965.0,59037474.0,301336.0,0.002,196
Italy,2014,22674235720.0,59037474.0,301336.0,0.002,196
Italy,2015,23035538202.0,59037474.0,301336.0,0.002,196
Italy,2016,23393598945.0,59037474.0,301336.0,0.002,196
Italy,2017,23746448857.0,59037474.0,301336.0,0.002,196
Italy,2018,24095469303.0,59037474.0,301336.0,0.002,196
Italy,2019,24435241474.0,59037474.0,301336.0,0.002,196
Italy,2020,24739056768.0,59037474.0,301336.0,0.002,196
Japan,2000,41009394035.0,123951692.0,377930.0,0.002,328
Japan,2001,42259160302.0,123951692.0,377930.0,0.002,328
Japan,2002,43538280443.0,123951692.0,377930.0,0.002,328
Japan,2003,44825748189.0,123951692.0,377930.0,0.002,328
Japan,2004,46108609790.0,123951692.0,377930.0,0.002,328
Japan,2005,47398980851.0,123951692.0,377930.0,0.002,328
Japan,2006,48666342725.0,123951692.0,377930.0,0.002,328
Japan,2007,49969476902.0,123951692.0,377930.0,0.002,328
Japan,2008,51201790632.0,123951692.0,377930.0,0.002,328
Japan,2009,52365003563.0,123951692.0,377930.0,0.002,328
Japan,2010,53579819796.0,123951692.0,377930.0,0.002,328
Japan,2011,54844685895.0,123951692.0,377930.0,0.002,328
Japan,2012,56150695737.0,123951692.0,377930.0,0.002,328
Japan,2013,57466038395.0,123951692.0,377930.0,0.002,328
Japan,2014,58729767154.0,123951692.0,377930.0,0.002,328
Japan,2015,59953163599.0,123951692.0,377930.0,0.002,328
Japan,2016,61156881479.0,123951692.0,377930.0,0.002,328
Japan,2017,62345004321.0,123951692.0,377930.0,0.002,328
Japan,2018,63488462197.0,123951692.0,377930.0,0.002,328
Japan,2019,64594391532.0,123951692.0,377930.0,0.002,328
Japan,2020,65625166916.0,123951692.0,377930.0,0.002,328
Mexico,2000,10898582285.0,127504125.0,1964375.0,0.013000000000000001,65
Mexico,2001,11309280207.0,127504125.0,1964375.0,0.013000000000000001,65
Mexico,2002,11721247894.0,127504125.0,1964375.0,0.013000000000000001,65
Mexico,2003,12159005432.0,127504125.0,1964375.0,0.013000000000000001,65
Mexico,2004,12597862129.0,127504125.0,1964375.0,0.013000000000000001,65
Mexico,2005,13061855319.0,127504125.0,1964375.0,0.013000000000000001,65
Mexico,2006,13538420535.0,127504125.0,1964375.0,0.013000000000000001,65
Mexico,2007,14018207347.0,127504125.0,1964375.0,0.013000000000000001,65
Mexico,2008,14511187017.0,127504125.0,1964375.0,0.013000000000000001,65
Mexico,2009,14987090071.0,127504125.0,1964375.0,0.013000000000000001,65
Mexico,2010,15450872585.0,127504125.0,1964375.0,0.013000000000000001,65
Mexico,2011,15935037426.0,127504125.0,1964375.0,0.013000000000000001,65
Mexico,2012,16431337006.0,127504125.0,1964375.0,0.013000000000000001,65
Mexico,2013,16921466676.0,127504125.0,1964375.0,0.013000000000000001,65
Mexico,2014,17402595462.0,127504125.0,1964375.0,0.013000000000000001,65
Mexico,2015,17884570053.0,127504125.0,1964375.0,0.013000000000000001,65
Mexico,2016,18367368105.0,127504125.0,1964375.0,0.013000000000000001,65
Mexico,2017,18827217256.0,127504125.0,1964375.0,0.013000000000000001,65
Mexico,2018,19282525157.0,127504125.0,1964375.0,0.013000000000000001,65
Mexico,2019,19718037545.0,127504125.0,1964375.0,0.013000000000000001,65
Mexico,2020,20075005664.0,127504125.0,1964375.0,0.013000000000000001,65
Russia,2000,83323053279.0,144713314.0,17098242.0,0.11,8
Russia,2001,84830759848.0,144713314.0,17098242.0,0.11,8
Russia,2002,86326453485.0,144713314.0,17098242.0,0.11,8
Russia,2003,87852060476.0,144713314.0,17098242.0,0.11,8
Russia,2004,89382754795.0,144713314.0,17098242.0,0.11,8
Russia,2005,90930353848.0,144713314.0,17098242.0,0.11,8
Russia,2006,92536895703.0,144713314.0,17098242.0,0.11,8
Russia,2007,94141445109.0,144713314.0,17098242.0,0.11,8
Russia,2008,95778368168.0,144713314.0,17098242.0,0.11,8
Russia,2009,97307329243.0,144713314.0,17098242.0,0.11,8
Russia,2010,98920442277.0,144713314.0,17098242.0,0.11,8
Russia,2011,101000000000.0,144713314.0,17098242.0,0.11,8
Russia,2012,102000000000.0,144713314.0,17098242.0,0.11,8
Russia,2013,104000000000.0,144713314.0,17098242.0,0.11,8
Russia,2014,106000000000.0,144713314.0,17098242.0,0.11,8
Russia,2015,107000000000.0,144713314.0,17098242.0,0.11,8
Russia,2016,109000000000.0,144713314.0,17098242.0,0.11,8
Russia,2017,110000000000.0,144713314.0,17098242.0,0.11,8
Russia,2018,112000000000.0,144713314.0,17098242.0,0.11,8
Russia,2019,114000000000.0,144713314.0,17098242.0,0.11,8
Russia,2020,115000000000.0,144713314.0,17098242.0,0.11,8
Saudi Arabia,2000,5929403156.0,36408820.0,2149690.0,0.013999999999999999,17
Saudi Arabia,2001,6225991207.0,36408820.0,2149690.0,0.013999999999999999,17
Saudi Arabia,2002,6551689110.0,36408820.0,2149690.0,0.013999999999999999,17
Saudi Arabia,2003,6878206224.0,36408820.0,2149690.0,0.013999999999999999,17
Saudi Arabia,2004,7272791114.0,36408820.0,2149690.0,0.013999999999999999,17
Saudi Arabia,2005,7668645874.0,36408820.0,2149690.0,0.013999999999999999,17
Saudi Arabia,2006,8099937842.0,36408820.0,2149690.0,0.013999999999999999,17
Saudi Arabia,2007,8486444989.0,36408820.0,2149690.0,0.013999999999999999,17
Saudi Arabia,2008,8918781399.0,36408820.0,2149690.0,0.013999999999999999,17
Saudi Arabia,2009,9384625708.0,36408820.0,2149690.0,0.013999999999999999,17
Saudi Arabia,2010,9902341655.0,36408820.0,2149690.0,0.013999999999999999,17
Saudi Arabia,2011,10400000665.0,36408820.0,2149690.0,0.013999999999999999,17
Saudi Arabia,2012,10963180158.0,36408820.0,2149690.0,0.013999999999999999,17
Saudi Arabia,2013,11503985390.0,36408820.0,2149690.0,0.013999999999999999,17
Saudi Arabia,2014,12113191007.0,36408820.0,2149690.0,0.013999999999999999,17
Saudi Arabia,2015,12788069175.0,36408820.0,2149690.0,0.013999999999999999,17
Saudi Arabia,2016,13427125661.0,36408820.0,2149690.0,0.013999999999999999,17
Saudi Arabia,2017,14066503627.0,36408820.0,2149690.0,0.013999999999999999,17
Saudi Arabia,2018,14688456370.0,36408820.0,2149690.0,0.013999999999999999,17
Saudi Arabia,2019,15310869119.0,36408820.0,2149690.0,0.013999999999999999,17
Saudi Arabia,2020,15936377001.0,36408820.0,2149690.0,0.013999999999999999,17
South Africa,2000,12148799925.0,59893885.0,1221037.0,0.008,49
South Africa,2001,12520316621.0,59893885.0,1221037.0,0.008,49
South Africa,2002,12876674029.0,59893885.0,1221037.0,0.008,49
South Africa,2003,13280847122.0,59893885.0,1221037.0,0.008,49
South Africa,2004,13729925810.0,59893885.0,1221037.0,0.008,49
South Africa,2005,14145850450.0,59893885.0,1221037.0,0.008,49
South Africa,2006,14592473038.0,59893885.0,1221037.0,0.008,49
South Africa,2007,15057273313.0,59893885.0,1221037.0,0.008,49
South Africa,2008,15551915567.0,59893885.0,1221037.0,0.008,49
South Africa,2009,16054175011.0,59893885.0,1221037.0,0.008,49
South Africa,2010,16521105019.0,59893885.0,1221037.0,0.008,49
South Africa,2011,16995053971.0,59893885.0,1221037.0,0.008,49
South Africa,2012,17456192937.0,59893885.0,1221037.0,0.008,49
South Africa,2013,17912058881.0,59893885.0,1221037.0,0.008,49
South Africa,2014,18392686817.0,59893885.0,1221037.0,0.008,49
South Africa,2015,18843258345.0,59893885.0,1221037.0,0.008,49
South Africa,2016,19308027414.0,59893885.0,1221037.0,0.008,49
South Africa,2017,19772226154.0,59893885.0,1221037.0,0.008,49
South Africa,2018,20236418776.0,59893885.0,1221037.0,0.008,49
South Africa,2019,20712341392.0,59893885.0,1221037.0,0.008,49
South Africa,2020,21164298479.0,59893885.0,1221037.0,0.008,49
South Korea,2000,6861294528.0,51815810.0,100210.0,0.001,517
South Korea,2001,7317539921.0,51815810.0,100210.0,0.001,517
South Korea,2002,7794329231.0,51815810.0,100210.0,0.001,517
South Korea,2003,8280284073.0,51815810.0,100210.0,0.001,517
South Korea,2004,8772533243.0,51815810.0,100210.0,0.001,517
South Korea,2005,9272097645.0,51815810.0,100210.0,0.001,517
South Korea,2006,9776603367.0,51815810.0,100210.0,0.001,517
South Korea,2007,10299509679.0,51815810.0,100210.0,0.001,517
South Korea,2008,10833534618.0,51815810.0,100210.0,0.001,517
South Korea,2009,11372764667.0,51815810.0,100210.0,0.001,517
South Korea,2010,11968354587.0,51815810.0,100210.0,0.001,517
South Korea,2011,12592904920.0,51815810.0,100210.0,0.001,517
South Korea,2012,13221840783.0,51815810.0,100210.0,0.001,517
South Korea,2013,13857632238.0,51815810.0,100210.0,0.001,517
South Korea,2014,14488226865.0,51815810.0,100210.0,0.001,517
South Korea,2015,15123440479.0,51815810.0,100210.0,0.001,517
South Korea,2016,15762699120.0,51815810.0,100210.0,0.001,517
South Korea,2017,16418446234.0,51815810.0,100210.0,0.001,517
South Korea,2018,17090076943.0,51815810.0,100210.0,0.001,517
South Korea,2019,17738101501.0,51815810.0,100210.0,0.001,517
South Korea,2020,18335706556.0,51815810.0,100210.0,0.001,517
Turkey,2000,4307207093.0,85341241.0,783562.0,0.005,109
Turkey,2001,4520693187.0,85341241.0,783562.0,0.005,109
Turkey,2002,4741670888.0,85341241.0,783562.0,0.005,109
Turkey,2003,4978154781.0,85341241.0,783562.0,0.005,109
Turkey,2004,5222618893.0,85341241.0,783562.0,0.005,109
Turkey,2005,5486819690.0,85341241.0,783562.0,0.005,109
Turkey,2006,5768468875.0,85341241.0,783562.0,0.005,109
Turkey,2007,6081205583.0,85341241.0,783562.0,0.005,109
Turkey,2008,6390526778.0,85341241.0,783562.0,0.005,109
Turkey,2009,6705886416.0,85341241.0,783562.0,0.005,109
Turkey,2010,7020266449.0,85341241.0,783562.0,0.005,109
Turkey,2011,7359748701.0,85341241.0,783562.0,0.005,109
Turkey,2012,7713414910.0,85341241.0,783562.0,0.005,109
Turkey,2013,8058635494.0,85341241.0,783562.0,0.005,109
Turkey,2014,8420310957.0,85341241.0,783562.0,0.005,109
Turkey,2015,8801642900.0,85341241.0,783562.0,0.005,109
Turkey,2016,9202882638.0,85341241.0,783562.0,0.005,109
Turkey,2017,9628211868.0,85341241.0,783562.0,0.005,109
Turkey,2018,10047648773.0,85341241.0,783562.0,0.005,109
Turkey,2019,10446993687.0,85341241.0,783562.0,0.005,109
Turkey,2020,10839787738.0,85341241.0,783562.0,0.005,109
United Kingdom,2000,68470975750.0,67508936.0,242900.0,0.002,278
United Kingdom,2001,69047289288.0,67508936.0,242900.0,0.002,278
United Kingdom,2002,69607355320.0,67508936.0,242900.0,0.002,278
United Kingdom,2003,70178827241.0,67508936.0,242900.0,0.002,278
United Kingdom,2004,70751730898.0,67508936.0,242900.0,0.002,278
United Kingdom,2005,71321693012.0,67508936.0,242900.0,0.002,278
United Kingdom,2006,71889264950.0,67508936.0,242900.0,0.002,278
United Kingdom,2007,72448501368.0,67508936.0,242900.0,0.002,278
United Kingdom,2008,72992999493.0,67508936.0,242900.0,0.002,278
United Kingdom,2009,73486894347.0,67508936.0,242900.0,0.002,278
United Kingdom,2010,73998525977.0,67508936.0,242900.0,0.002,278
United Kingdom,2011,74467979649.0,67508936.0,242900.0,0.002,278
United Kingdom,2012,74955496204.0,67508936.0,242900.0,0.002,278
United Kingdom,2013,75432883692.0,67508936.0,242900.0,0.002,278
United Kingdom,2014,75871424691.0,67508936.0,242900.0,0.002,278
United Kingdom,2015,76293764798.0,67508936.0,242900.0,0.002,278
United Kingdom,2016,76693102192.0,67508936.0,242900.0,0.002,278
United Kingdom,2017,77080667373.0,67508936.0,242900.0,0.002,278
United Kingdom,2018,77462557032.0,67508936.0,242900.0,0.002,278
United Kingdom,2019,77831566725.0,67508936.0,242900.0,0.002,278
United Kingdom,2020,78161145636.0,67508936.0,242900.0,0.002,278
United States,2000,304000000000.0,338289857.0,9372610.0,0.061,36
United States,2001,310000000000.0,338289857.0,9372610.0,0.061,36
United States,2002,316000000000.0,338289857.0,9372610.0,0.061,36
United States,2003,322000000000.0,338289857.0,9372610.0,0.061,36
United States,2004,328000000000.0,338289857.0,9372610.0,0.061,36
United States,2005,334000000000.0,338289857.0,9372610.0,0.061,36
United States,2006,340000000000.0,338289857.0,9372610.0,0.061,36
United States,2007,347000000000.0,338289857.0,9372610.0,0.061,36
United States,2008,353000000000.0,338289857.0,9372610.0,0.061,36
United States,2009,358000000000.0,338289857.0,9372610.0,0.061,36
United States,2010,364000000000.0,338289857.0,9372610.0,0.061,36
United States,2011,369000000000.0,338289857.0,9372610.0,0.061,36
United States,2012,375000000000.0,338289857.0,9372610.0,0.061,36
United States,2013,380000000000.0,338289857.0,9372610.0,0.061,36
United States,2014,386000000000.0,338289857.0,9372610.0,0.061,36
United States,2015,391000000000.0,338289857.0,9372610.0,0.061,36
United States,2016,396000000000.0,338289857.0,9372610.0,0.061,36
United States,2017,401000000000.0,338289857.0,9372610.0,0.061,36
United States,2018,407000000000.0,338289857.0,9372610.0,0.061,36
United States,2019,412000000000.0,338289857.0,9372610.0,0.061,36
United States,2020,417000000000.0,338289857.0,9372610.0,0.061,36
